Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
MDF-61,1263,Sapiens,9,55.75,34.95,36.26,29.4,6.69,31.07,10.81
MDF-61,1267,Sapiens,8,58.68,35.66,47.24,38.51,7.57,32.66,9.65
MDF-61,1271,Sapiens,8,55.8,46.06,49.23,48.02,7.86,31.23,6.37
MDF-61,1275,Sapiens,7,51.51,26.66,38.54,28.65,7.77,18.09,5.44
MDF-61,1280,Sapiens,6,48.38,47.56,56.65,51.29,12.6,40.2,14.18
MDF-61,1503,Sapiens,5,62.09,34.33,45.56,29.73,8.82,27.19,9.45
MDF-61,1554,Sapiens,6,32.49,31.61,41.89,42.43,5.14,27.99,6.5
MDF-61,1568,Sapiens,6,31.34,25.96,32.57,32.67,7.1,18.97,4.52
JKF-1,209,Unknown,7,100.45,29.01,30.2,4.63,9.21,25.84,12.57
JKF-1,27,Unknown,4,67.24,39.3,38.92,26.49,8.52,33.98,15.86
JKF-1,34,Unknown,3,48.39,28.84,30.03,14.38,5.25,25.18,6.45
JKF-1,42,Unknown,4,41.1,37.08,25.74,4.96,9.6,20.08,11.03
JKF-1,71,Unknown,4,55.95,28.84,42.26,26.42,10.87,26.25,10.09
JKF-1,73,Unknown,3,44.82,24.44,18.45,1.15,6.33,17.12,4.69
JKF-1,86,Unknown,6,58.46,44.01,40.75,14.34,13.42,39.71,11.62
JKF-1,142,Unknown,4,49.95,28.22,26.02,8.86,8.11,25.98,10.62
JKF-1,328,Unknown,7,60.22,26.98,36.6,3.97,11.54,25.29,11.86
JKF-1,352,Unknown,5,76.99,57.74,44.22,5.55,9.73,56.41,17.34
JKF-1,397,Unknown,5,48.07,42.74,36.32,3.81,21.72,44.69,13.27
JKF-1,422,Unknown,6,46.29,25.28,27.11,4.49,7.48,21.97,7.94
JKF-1,502,Unknown,6,53.44,35.28,29.42,3.31,8.87,36.01,9.02
JKF-1,571,Unknown,6,40.14,22.72,27.12,15.63,6.92,19.19,6.76
JKF-1,811,Unknown,6,47.01,26.96,34.08,19.33,9.55,27.5,8.89
JKF-1,847,Unknown,6,66.57,44.43,36.48,3.83,8.53,45.46,11.32
JKF-1,873,Unknown,7,58.26,21.09,27.55,4.63,8.31,20.51,5.83
JKF-1,S20,Unknown,7,74.41,37.06,42.41,3.84,8.63,29.03,7.52
JKF-1,S62 + S 63 (conjoin),Unknown,5,67.92,24.98,32.95,20.61,7.92,19.82,5.62
JKF-1,504,Unknown,7,77.04,42.46,31.08,3.26,8.1,36.18,6.33
JKF-1,513,Unknown,9,91.97,39.39,29.27,2.27,8.83,25.49,10.19
JKF-1,921,Unknown,8,80.16,45.49,40.9,6.65,7.61,45.18,12.46
JKF-1,S76,Unknown,3,69.01,49.33,36.62,2.67,5.62,49.14,8.94
JKF-1,S36,Unknown,5,26.81,17.08,18.49,13.74,5.08,13.3,5.05
Ksar Akil 28A,1118,Neanderthal,6,61.14,25.28,29.11,11.74,6.94,22.83,7.17
Ksar Akil 28A,1140,Neanderthal,7,64.08,28.97,26.59,1.65,7.49,26.76,7.96
Ksar Akil 28A,1890,Neanderthal,6,69.59,28.27,32.64,26.71,7.33,16.89,7.18
