Site,ID number,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness,Weight,,,
JKF-1,71.00,4.00,55.95,28.84,42.26,26.42,10.87,26.25,10.09,33.80,,,
JKF-1,73.00,3.00,44.82,24.44,18.45,1.15,6.33,17.12,4.69,8.90,,,
JKF-1,86.00,6.00,58.46,44.01,40.75,14.34,13.42,39.71,11.62,53.60,,,
JKF-1,142.00,4.00,49.95,28.22,26.02,8.86,8.11,25.98,10.62,20.20,,,
JKF-1,328.00,7.00,60.22,26.98,36.60,3.97,11.54,25.29,11.86,34.00,,,
JKF-1,352.00,5.00,76.99,57.74,44.22,5.55,9.73,56.41,17.34,51.30,,,
JKF-1,397.00,5.00,48.07,42.74,36.32,3.81,21.72,44.69,13.27,146.70,,,
JKF-1,422.00,6.00,46.29,25.28,27.11,4.49,7.48,21.97,7.94,13.10,,,
JKF-1,502.00,6.00,53.44,35.28,29.42,3.31,8.87,36.01,9.02,23.70,,,
JKF-1,571.00,6.00,40.14,22.72,27.12,15.63,6.92,19.19,6.76,11.60,,,
JKF-1,811.00,6.00,47.01,26.96,34.08,19.33,9.55,27.50,8.89,22.70,,,
JKF-1,847.00,6.00,66.57,44.43,36.48,3.83,8.53,45.46,11.32,44.00,,,
JKF-1,873.00,7.00,58.26,21.09,27.55,4.63,8.31,20.51,5.83,19.40,,,
JKF-1,S20,7.00,74.41,37.06,42.41,3.84,8.63,29.03,7.52,41.00,,,
JKF-1,S62 + S 63 (conjoin),5.00,67.92,24.98,32.95,20.61,7.92,19.82,5.62,22.80,,,
JKF-1,504.00,7.00,77.04,42.46,31.08,3.26,8.10,36.18,6.33,38.00,,,
JKF-1,513.00,9.00,91.97,39.39,29.27,2.27,8.83,25.49,10.19,49.10,,,
JKF-1,921.00,8.00,80.16,45.49,40.90,6.65,7.61,45.18,12.46,50.90,,,
JKF-1,S76,3.00,69.01,49.33,36.62,2.67,5.62,49.14,8.94,27.90,,,
JKF-1,S36,5.00,26.81,17.08,18.49,13.74,5.08,13.30,5.05,2.70,,,
Ksar Akil 28A,1118.00,6.00,61.14,25.28,29.11,11.74,6.94,22.83,7.17,14.00,,,
Ksar Akil 28A,1140.00,7.00,64.08,28.97,26.59,1.65,7.49,26.76,7.96,15.80,,,
Ksar Akil 28A,1890.00,6.00,69.59,28.27,32.64,26.71,7.33,16.89,7.18,23.90,,,
Ksar Akil 28A,2663.00,5.00,70.92,20.27,30.34,18.52,9.00,18.83,4.28,21.80,,,
Ksar Akil 28A,1938.00,6.00,76.36,40.24,36.55,41.46,10.77,40.79,10.87,40.30,,,
Ksar Akil 28A,2158.00,3.00,47.36,21.46,21.50,11.79,4.30,19.24,3.69,6.40,,,
